# ell  TT    EE    TE
1.680000000000000000e+02 1.078636660756626897e+00 2.108800686310579903e-04 -9.333517361056666711e-03
1.690000000000000000e+02 1.071942828658224434e+00 2.061728441690775944e-04 -9.129140374506168262e-03
1.700000000000000000e+02 1.065253618502060018e+00 2.014794166306646875e-04 -8.923028755585678609e-03
1.710000000000000000e+02 1.058568367443841529e+00 1.968874177442390765e-04 -8.715274555368530962e-03
1.720000000000000000e+02 1.051886412639208235e+00 1.923348541564417081e-04 -8.505969824933581891e-03
1.730000000000000000e+02 1.045207091244095832e+00 1.879018590443044974e-04 -8.295206615351689156e-03
1.740000000000000000e+02 1.038529740413856928e+00 1.835017966203419612e-04 -8.083076977702243621e-03
1.750000000000000000e+02 1.031853697304401907e+00 1.792387299794087011e-04 -7.869672963056748363e-03
1.760000000000000000e+02 1.025178299071625609e+00 1.750394724656771932e-04 -7.655086622493477953e-03
1.770000000000000000e+02 1.018502882870864434e+00 1.709388991686431431e-04 -7.439410007085962492e-03
1.780000000000000000e+02 1.011826785858295885e+00 1.669301544306579885e-04 -7.222735167911288265e-03
1.790000000000000000e+02 1.005149345189496835e+00 1.630129342941208056e-04 -7.005154156043365277e-03
1.800000000000000000e+02 9.984700237020017743e-01 1.592079502786297068e-04 -6.786757078012499271e-03
1.810000000000000000e+02 9.917887869593889905e-01 1.554940973791220989e-04 -6.567626262170314123e-03
1.820000000000000000e+02 9.851057262068081410e-01 1.518804919140094882e-04 -6.347842092322202208e-03
1.830000000000000000e+02 9.784209326896331493e-01 1.484044550850280493e-04 -6.127484952276691411e-03
1.840000000000000000e+02 9.717344976530404299e-01 1.450217544591473977e-04 -5.906635225838398687e-03
1.850000000000000000e+02 9.650465123424296632e-01 1.417304628743787051e-04 -5.685373296813660965e-03
1.860000000000000000e+02 9.583570680030133460e-01 1.385731329623310490e-04 -5.463779549009083192e-03
1.870000000000000000e+02 9.516662558802286842e-01 1.355590432735879407e-04 -5.241934366230179172e-03
1.880000000000000000e+02 9.449741672194647002e-01 1.326363647210668467e-04 -5.019918132285362301e-03
1.890000000000000000e+02 9.382808932658101009e-01 1.298469749610311281e-04 -4.797811230979278155e-03
1.900000000000000000e+02 9.315865252649706552e-01 1.271760940412360106e-04 -4.575694046118129223e-03
1.910000000000000000e+02 9.248911544623508174e-01 1.246468722159337138e-04 -4.353646961508312284e-03
1.920000000000000000e+02 9.181948721031981675e-01 1.222195447973331041e-04 -4.131750360957652662e-03
1.930000000000000000e+02 9.114977694332374591e-01 1.199634232074455858e-04 -3.910084628270334497e-03
1.940000000000000000e+02 9.047999376977873265e-01 1.177830458104996744e-04 -3.688730147254471944e-03
1.950000000000000000e+02 8.981014681422704315e-01 1.158037616432727995e-04 -3.467767301714569633e-03
1.960000000000000000e+02 8.914024520124554929e-01 1.139479008250475841e-04 -3.247276475458952052e-03
1.970000000000000000e+02 8.847029805538433322e-01 1.122257102718642361e-04 -3.027338052292368430e-03
1.980000000000000000e+02 8.780031450119211156e-01 1.106260167731381027e-04 -2.808032416020909364e-03
1.990000000000000000e+02 8.713030366324007181e-01 1.091948961338628469e-04 -2.589439950451917494e-03
2.000000000000000000e+02 8.646027466609780276e-01 1.078958487720204913e-04 -2.371641039391597910e-03
2.010000000000000000e+02 8.579024326666195854e-01 1.067729975170496879e-04 -2.154712518314921398e-03
2.020000000000000000e+02 8.512025175123535403e-01 1.057733744652768800e-04 -1.938717029369757452e-03
2.030000000000000000e+02 8.445034903847050689e-01 1.049264798094612779e-04 -1.723713666374472511e-03
2.040000000000000000e+02 8.378058404702261042e-01 1.042562822488827260e-04 -1.509761523146131322e-03
2.050000000000000000e+02 8.311100569554764617e-01 1.037201509758601398e-04 -1.296919693501547965e-03
2.060000000000000000e+02 8.244166290268931663e-01 1.033334767120911563e-04 -1.085247271257842264e-03
2.070000000000000000e+02 8.177260458712124480e-01 1.031096706644448830e-04 -8.748033502333942132e-04
2.080000000000000000e+02 8.110387966749003086e-01 1.030435313381256610e-04 -6.656470242449873164e-04
2.090000000000000000e+02 8.043553706248903756e-01 1.031081361983344737e-04 -4.578373871100070280e-04
2.100000000000000000e+02 7.976762569075954712e-01 1.033632729902245483e-04 -2.514335326457745631e-04
2.110000000000000000e+02 7.910019447098550760e-01 1.037585624418679056e-04 -4.649455466970210150e-05
2.120000000000000000e+02 7.843329232182750799e-01 1.043047075411866059e-04 1.569204530009751190e-04
2.130000000000000000e+02 7.776696816198375162e-01 1.049955842055401385e-04 3.587523965487856127e-04
2.140000000000000000e+02 7.710127091012556333e-01 1.058497699388803070e-04 5.589421821566458760e-04
2.150000000000000000e+02 7.643624948492715454e-01 1.068687872856050291e-04 7.574307160068927906e-04
2.160000000000000000e+02 7.577195280509360087e-01 1.080557537306654683e-04 9.541589042824595492e-04
2.170000000000000000e+02 7.510842978929866964e-01 1.093931884502091740e-04 1.149067653165570385e-03
